id,nom,description,prix,image_url,categorie,en_vedette,nombre_ventes,created_at
11,Poudre d'Iris,"L'iris florentin dans sa plus belle expression. Poudreux, délicat, aristocratique. La signature des grandes maisons.",290.00,https://images.unsplash.com/photo-1563170351-be82bc888aa4?w=800&q=80,femme,f,156,2026-05-03 00:11:51.880535+00
12,Agrumes Nobles,"Un hespéridé sophistiqué. Yuzu, bergamote et mandarine rouge portés par un fond de cèdre et de vétiver fumé.",220.00,https://images.unsplash.com/photo-1516975080664-ed2fc6a32937?w=800&q=80,homme,f,278,2026-05-03 00:11:51.880535+00
13,Velours d'Orient,"Un voyage sensoriel au cœur des souks. Bois de oud précieux, rose de Taïf et ambre gris se fondent en un sillage envoûtant.",320.00,https://images.unsplash.com/photo-1541643600914-78b084683702?w=800&auto=format&fit=crop,oriental,t,0,2026-05-03 00:43:30.065699+00
14,Nuit de Bagdad,"Un hymne à l'orient mystérieux. Safran, patchouli et encens de Somalie tissent une tapisserie olfactive d'une richesse infinie.",275.00,https://images.unsplash.com/photo-1547887537-6158d64c35b3?w=800&auto=format&fit=crop,oriental,f,0,2026-05-03 00:43:30.065699+00
15,Ambre Impérial,"L'ambré dans toute sa splendeur : vanille bourbon, myrrhe et benjoin forment un manteau de chaleur sensuelle et addictive.",295.00,https://images.unsplash.com/photo-1585386959984-a4155224a1ad?w=800&auto=format&fit=crop,oriental,f,0,2026-05-03 00:43:30.065699+00
16,Rose Absolue,"Un bouquet de roses de Mai cueillis à l'aube. Pétales de rose centifolia, pivoine et musc blanc d'une pureté absolue.",240.00,https://images.unsplash.com/photo-1588776814546-1ffedcea0424?w=800&auto=format&fit=crop,floral,t,0,2026-05-03 00:43:30.065699+00
17,Jardins de Grasse,"L'âme de Grasse en flacon : jasmin sambac, ylang-ylang et tubéreuse dans une composition florale d'une rare intensité.",265.00,https://images.unsplash.com/photo-1607006344380-b6775a0824a7?w=800&auto=format&fit=crop,floral,f,0,2026-05-03 00:43:30.065699+00
18,Cèdre Noir,"Un boisé noble et affirmé : cèdre de l'Atlas, vétiver haïtien et cuir fumé pour un caractère intemporel.",255.00,https://images.unsplash.com/photo-1590156546064-0a5b7e7e4fbd?w=800&auto=format&fit=crop,boise,t,0,2026-05-03 00:43:30.065699+00
19,Forêt Sacrée,"Une promenade dans une forêt millénaire : santal de Mysore, bois de gaïac et notes fumées de tabac blond.",280.00,https://images.unsplash.com/photo-1594035910387-fea47794261f?w=800&auto=format&fit=crop,boise,f,0,2026-05-03 00:43:30.065699+00
20,Brume Marine,"La fraîcheur de la méditerranée en bouteille. Notes marines, ambrette et musc blanc évoquent le large et la liberté.",195.00,https://images.unsplash.com/photo-1566977776052-6e61e35bf9be?w=800&auto=format&fit=crop,aquatique,f,0,2026-05-03 00:43:30.065699+00
21,Écume d'Azur,"Un souffle d'air marin capturé à l'instant. Hélional, sel marin et fleur de lotus pour une sensation de pureté absolue.",210.00,https://images.unsplash.com/photo-1523293182086-7651a899d37f?w=800&auto=format&fit=crop,aquatique,f,0,2026-05-03 00:43:30.065699+00
22,Praline Noir,"Une gourmandise pour les sens : praline chaude, fève tonka et cacao amer sublimés par une base musquée veloutée.",235.00,https://images.unsplash.com/photo-1617897903246-719242758050?w=800&auto=format&fit=crop,gourmand,f,0,2026-05-03 00:43:30.065699+00
23,Caramel de Luxe,"L'élégance du gourmand : caramel salé, vanille de Madagascar et beurre de karité pour un sillage irrésistible et doux.",220.00,https://images.unsplash.com/photo-1619994403073-2cec844b8e63?w=800&auto=format&fit=crop,gourmand,f,0,2026-05-03 00:43:30.065699+00
24,Soleil d'Amalfi,"L'Italie dans un flacon : bergamote de Calabre, citron d'Amalfi et néroli de Sicile éclatent de fraîcheur et de joie de vivre.",190.00,https://images.unsplash.com/photo-1547212371-d5b249eda7be?w=800&auto=format&fit=crop,citrus,f,0,2026-05-03 00:43:30.065699+00
25,Zeste Impérial,"Un agrume noble et sophistiqué. Pamplemousse rose, mandarine italienne et poivre de Kampot pour une fraîcheur qui ne faiblit jamais.",205.00,https://images.unsplash.com/photo-1541643600914-78b084683702?w=800&auto=format&fit=crop,citrus,f,0,2026-05-03 00:43:30.065699+00
